id,user,uid,version,changeset,timestamp
4401967,Threepwood,131565,35,48771094,2017-05-17T19:28:43Z
4402014,Virtualritz,5847589,39,48566157,2017-05-10T16:17:02Z
4402037,Virtualritz,5847589,15,48566157,2017-05-10T16:16:45Z
4402228,ericdanielski,2793459,38,47971095,2017-04-20T13:01:35Z
4403559,glibbertorsten,1879543,11,26709111,2014-11-11T12:07:21Z
4412868,ericdanielski,2793459,12,47963591,2017-04-20T08:38:09Z
4412886,Virtualritz,5847589,18,48566157,2017-05-10T16:16:26Z
4471818,haytigran,360562,14,45023627,2017-01-09T11:11:58Z
4471819,haytigran,360562,17,45776679,2017-02-03T12:15:12Z
4471820,haytigran,360562,19,45776679,2017-02-03T12:15:13Z
4471821,EJ_,2455020,24,41949916,2016-09-06T09:16:21Z
4471823,haytigran,360562,21,45023627,2017-01-09T11:11:58Z
4471824,haytigran,360562,18,45023627,2017-01-09T11:11:59Z
4570580,hdy3er,799014,9,36764893,2016-01-23T19:55:13Z
4588211,Virtualritz,5847589,24,48566157,2017-05-10T16:16:32Z
4588217,ericdanielski,2793459,23,47965750,2017-04-20T09:48:48Z
4588219,Leonard Ehrenfried,1877495,17,48762300,2017-05-17T12:57:26Z
4588220,anbr,43566,16,34376083,2015-10-01T19:36:22Z
4588222,Koze,36853,14,47866722,2017-04-17T11:21:27Z
4597320,stefan005,53398,9,48486988,2017-05-07T23:11:23Z
4597322,Threepwood,131565,12,48602001,2017-05-11T19:26:01Z
4597324,Threepwood,131565,12,48602001,2017-05-11T19:24:41Z
4597325,Bot45715,111462,5,28816516,2015-02-13T10:15:48Z
4597326,Bot45715,111462,13,13930787,2012-11-19T12:04:38Z
4610472,RoterEmil,4179530,17,46187257,2017-02-18T08:55:16Z
4610476,ericdanielski,2793459,29,47971095,2017-04-20T12:59:57Z
4610479,glibbertorsten,1879543,13,26731790,2014-11-12T10:39:09Z
4610480,johndoe,122712,11,20831750,2014-02-28T17:50:33Z
4610494,anbr,43566,9,29185491,2015-03-01T20:34:24Z
4610524,Threepwood,131565,14,48771094,2017-05-17T19:39:11Z
4610525,Threepwood,131565,6,48771094,2017-05-17T19:45:28Z
4610526,geozeisig,66391,9,10298067,2012-01-05T07:46:39Z
4610527,blackdeerranger,1264399,10,34915645,2015-10-27T22:34:41Z
4610597,Threepwood,131565,18,48771094,2017-05-17T19:43:59Z
4610600,Threepwood,131565,6,48771094,2017-05-17T19:42:35Z
4611690,Threepwood,131565,17,48572094,2017-05-10T19:59:38Z
4611691,RoterEmil,4179530,9,43059319,2016-10-21T13:14:00Z
4611693,RoterEmil,4179530,13,47822973,2017-04-15T19:35:38Z
4611694,taxi-adem,2426081,12,32451828,2015-07-06T15:58:07Z
4611696,Threepwood,131565,16,48771094,2017-05-17T19:59:54Z
4611699,Threepwood,131565,46,48771094,2017-05-17T19:37:29Z
4611706,Threepwood,131565,12,48771094,2017-05-17T20:07:24Z
4611707,letihu,1787357,7,35112322,2015-11-05T21:17:38Z
4611708,Threepwood,131565,18,48771094,2017-05-17T20:22:14Z
4611710,Leonard Ehrenfried,1877495,13,48725171,2017-05-16T09:21:05Z
4611711,Leonard Ehrenfried,1877495,11,48725171,2017-05-16T09:21:20Z
4611712,Threepwood,131565,7,48572094,2017-05-10T19:48:25Z
4611713,Threepwood,131565,5,48771094,2017-05-17T20:27:46Z
4611714,Threepwood,131565,21,48572094,2017-05-10T19:55:14Z
4611718,Threepwood,131565,10,48572094,2017-05-10T19:55:42Z
4773029,Threepwood,131565,10,48572094,2017-05-10T19:59:44Z
6228081,MorbZ,42705,16,34555146,2015-10-10T18:11:18Z
11483007,2beers,317216,26,47897413,2017-04-18T08:26:15Z
11548677,RoterEmil,4179530,47,45012689,2017-01-08T21:50:49Z
11548679,Martien Sch,319572,76,42750082,2016-10-09T09:40:59Z
11747449,pyram,497849,34,30722471,2015-05-02T14:31:43Z
15968753,mapper999,165061,28,41499100,2016-08-16T20:58:12Z
15968754,Bot45715,111462,7,27539780,2014-12-17T21:27:40Z
15971186,anbr,43566,21,29185491,2015-03-01T20:34:12Z
