id,node_id,position
4401967,25661287,0
4401967,3803663105,1
4401967,3803662852,2
4401967,3862767501,3
4401967,3425667213,4
4402014,25662542,0
4402014,2055804552,1
4402014,25661289,2
4402037,25664699,0
4402037,1702616130,1
4402037,2055689807,2
4402037,25664713,3
4402228,2010745299,0
4402228,3869306764,1
4402228,3869306765,2
4402228,3973608516,3
4403559,26747878,0
4403559,538855882,1
4403559,458223656,2
4403559,26747879,3
4412868,25664657,0
4412868,25664649,1
4412886,26747882,0
4412886,2046523001,1
4412886,3343069996,2
4471818,27411998,0
4471818,2071374838,1
4471818,2071374842,2
4471818,27412234,3
4471819,27412000,0
4471819,2177114786,1
4471819,4659437013,2
4471819,366500576,3
4471819,283049056,4
4471819,2071374832,5
4471819,27411998,6
4471820,27411999,0
4471820,4659437012,1
4471820,27412000,2
4471821,27412238,0
4471821,2071374882,1
4471821,366500584,2
4471821,27412232,3
4471821,3421732476,4
4471821,27411999,5
4471823,27412300,0
4471823,2071374980,1
4471823,2071374989,2
4471823,26162548,3
4471823,2071374993,4
4471823,2071374987,5
4471823,276689682,6
4471823,2071374959,7
4471823,26162547,8
4471823,2071374929,9
4471823,2046696478,10
4471823,27412237,11
4471823,2071374912,12
4471823,27412236,13
4471824,27412305,0
4471824,2071375094,1
4471824,2071375082,2
4471824,26162550,3
4471824,2071375071,4
4471824,27412304,5
4471824,2071375063,6
4471824,2071375059,7
4471824,2071375048,8
4471824,27412303,9
4471824,2071375038,10
4471824,2071375025,11
4471824,26162549,12
4471824,2071375014,13
4471824,27412301,14
4471824,2071374985,15
4471824,2071374983,16
4471824,27412300,17
4570580,26747879,0
4570580,441099645,1
4570580,26747880,2
4588211,26861434,0
4588211,3463838888,1
4588211,4351377009,2
4588217,20246257,0
4588217,1206481791,1
4588217,1206481808,2
4588217,2882465305,3
4588217,25662542,4
4588219,262480689,0
4588219,609711993,1
4588219,25661966,2
4588219,607164924,3
4588219,3792738033,4
4588219,25662928,5
4588219,283039340,6
4588220,25662542,0
4588220,25661386,1
4588222,25662047,0
4588222,609711996,1
4588222,545120091,2
4588222,25661967,3
4588222,3792738020,4
4588222,25662931,5
4588222,283039342,6
4597320,25661323,0
4597320,3803663150,1
4597320,3803663144,2
4597320,3276714570,3
4597320,3050739290,4
4597320,3050739288,5
4597320,29063088,6
4597322,25664333,0
4597322,2054971477,1
4597322,2054971478,2
4597322,545161596,3
4597322,3347618290,4
4597322,25661997,5
4597324,29063088,0
4597324,545149136,1
4597324,458911423,2
4597324,25661997,3
4597324,603622798,4
4597324,603622803,5
4597324,25661991,6
4597324,25661984,7
4597325,25661991,0
4597325,25661994,1
4597325,3347616308,2
4597325,25661366,3
4597326,25661366,0
4597326,25661973,1
4597326,538607199,2
4610472,27412113,0
4610472,4691821899,1
4610472,3767875662,2
4610472,3694980244,3
4610472,541127522,4
4610472,540970222,5
4610472,26701262,6
4610472,540934808,7
4610472,29192948,8
4610472,102965007,9
4610472,1769589042,10
4610476,29192953,0
4610476,4590472050,1
4610476,4590472031,2
4610476,538718633,3
4610476,4590472051,4
4610476,1450319090,5
4610476,2057354704,6
4610476,29192960,7
4610479,538718617,0
4610479,538718615,1
4610479,247601437,2
4610480,29192965,0
4610480,29192964,1
4610480,160493807,2
4610480,1208647794,3
4610494,3378459472,0
4610494,353642821,1
4610494,25665636,2
4610494,538795142,3
4610524,25665029,0
4610524,3602294175,1
4610525,29192965,0
4610525,538716214,1
4610525,538716215,2
4610525,538716219,3
4610525,29193492,4
4610525,29193498,5
4610525,29193497,6
4610526,29193496,0
4610526,29193492,1
4610527,1988511977,0
4610527,2139981542,1
4610527,2139981545,2
4610527,1988511980,3
4610527,29193493,4
4610527,2139981541,5
4610527,29193494,6
4610597,29194641,0
4610597,3378459601,1
4610597,29194666,2
4610597,1361595533,3
4610597,1473258656,4
4610597,29194635,5
4610600,29192965,0
4610600,160493817,1
4611690,262525631,0
4611690,2267949122,1
4611690,353646382,2
4611690,29207416,3
4611690,29207417,4
4611691,25665029,0
4611691,4457861306,1
4611693,283035794,0
4611693,4177965508,1
4611693,4177965511,2
4611693,1361321068,3
4611693,702043548,4
4611693,4795653627,5
4611693,29207427,6
4611694,29207422,0
4611694,1474904609,1
4611694,160543091,2
4611696,160514854,0
4611696,283035794,1
4611696,4177965514,2
4611696,4177965509,3
4611696,29207433,4
4611696,29207423,5
4611696,30507148,6
4611699,160493846,0
4611699,29193497,1
4611706,25662738,0
4611706,2659151542,1
4611706,283039344,2
4611707,29207429,0
4611707,29207427,1
4611708,283039345,0
4611708,3102589402,1
4611708,262457655,2
4611708,29207837,3
4611708,545036746,4
4611708,545036879,5
4611708,3922684684,6
4611710,29207838,0
4611710,519476420,1
4611710,3114557938,2
4611710,3922685137,3
4611710,283039346,4
4611711,25663714,0
4611711,546293519,1
4611711,3922685122,2
4611711,29207840,3
4611712,25663714,0
4611712,25663713,1
4611713,25663722,0
4611713,29207837,1
4611713,29207840,2
4611714,29207840,0
4611714,519476614,1
4611714,519475950,2
4611714,29207858,3
4611714,2751386069,4
4611714,2751386067,5
4611714,1604528506,6
4611714,546293533,7
4611714,266540992,8
4611714,1759358530,9
4611714,29207847,10
4611714,266540997,11
4611714,1759358529,12
4611714,3922684804,13
4611714,266540994,14
4611714,3748722442,15
4611714,1772850069,16
4611714,4451098200,17
4611718,29207842,0
4611718,3213618590,1
4611718,29207858,2
4773029,29207418,0
4773029,1991146585,1
4773029,29207417,2
6228081,1769589034,0
6228081,1769589022,1
11483007,25664680,0
11483007,25664649,1
11548677,1755918496,0
11548677,3463843453,1
11548677,102965035,2
11548677,1210473720,3
11548677,102972903,4
11548677,1473309628,5
11548677,3463843458,6
11548677,1473309626,7
11548677,4353055500,8
11548677,4353055498,9
11548677,1755918499,10
11548677,105184465,11
11548677,2385259549,12
11548677,2385259547,13
11548677,3088662678,14
11548677,2374822556,15
11548677,2374822529,16
11548677,3088662673,17
11548677,3088662672,18
11548677,3088662671,19
11548677,3088662669,20
11548677,3088662667,21
11548677,3088662668,22
11548677,3088662670,23
11548677,1473309604,24
11548677,1755918473,25
11548677,2058454623,26
11548677,2058454610,27
11548677,1755918469,28
11548677,105185390,29
11548677,1755955772,30
11548677,1755955770,31
11548677,105185382,32
11548677,1474042450,33
11548677,1474042420,34
11548677,1013898852,35
11548677,102972941,36
11548677,3463843510,37
11548677,160503264,38
11548677,160503268,39
11548677,2266361238,40
11548677,2266361241,41
11548677,2265506378,42
11548677,160503271,43
11548677,160503277,44
11548677,2266361237,45
11548677,2266361239,46
11548677,160503281,47
11548677,2266361236,48
11548677,160503286,49
11548677,160503290,50
11548677,160511946,51
11548677,1361312828,52
11548677,2739143314,53
11548677,2739143310,54
11548677,540642752,55
11548677,4122041540,56
11548677,160511959,57
11548677,4122041536,58
11548677,4122041524,59
11548677,160511964,60
11548677,540435461,61
11548677,160511969,62
11548677,160511974,63
11548677,4124563108,64
11548677,160511985,65
11548677,160511995,66
11548677,160512004,67
11548677,1474935959,68
11548677,1547238091,69
11548677,1547238094,70
11548677,1547238111,71
11548677,1547238116,72
11548677,1547238125,73
11548677,540510824,74
11548677,190865557,75
11548677,190865556,76
11548677,540437084,77
11548677,160512045,78
11548677,1547238126,79
11548677,1547238119,80
11548677,1547238113,81
11548677,3748722460,82
11548677,3748722458,83
11548677,1547238108,84
11548677,1547238093,85
11548677,1547239422,86
11548677,1547238089,87
11548677,160512040,88
11548677,4113982803,89
11548677,1547239420,90
11548677,160512036,91
11548677,160512033,92
11548677,160512029,93
11548677,160512026,94
11548677,4124563098,95
11548677,4124563099,96
11548677,4124563100,97
11548677,4124563101,98
11548677,4124563102,99
11548677,4124563103,100
11548677,160512021,101
11548677,4124563115,102
11548677,3748722449,103
11548677,4122041526,104
11548677,160512013,105
11548677,160512010,106
11548677,353150095,107
11548677,4561642999,108
11548677,160503298,109
11548677,160503295,110
11548677,102972894,111
11548677,1764669252,112
11548677,4597079357,113
11548677,4597079358,114
11548677,4597079360,115
11548677,4597079359,116
11548677,102972881,117
11548677,102972877,118
11548677,102972874,119
11548677,2058454603,120
11548677,2058454609,121
11548677,102965040,122
11548677,2058454642,123
11548677,4353055496,124
11548677,4353055497,125
11548677,1755918496,126
11548679,1210473720,0
11548679,617917179,1
11548679,102972905,2
11548679,617917178,3
11548679,102972907,4
11548679,617917182,5
11548679,102972908,6
11548679,4353055501,7
11548679,4353055502,8
11548679,1473309632,9
11548679,4353055504,10
11548679,4353055503,11
11548679,1473309631,12
11548679,2058454712,13
11548679,105184460,14
11548679,2385259554,15
11548679,3088662710,16
11548679,2385259555,17
11548679,105184461,18
11548679,3088662705,19
11548679,3088662704,20
11548679,3088662703,21
11548679,2374822582,22
11548679,2374822578,23
11548679,2377901689,24
11548679,524719287,25
11548679,3088662697,26
11548679,102972909,27
11548679,1254366392,28
11548679,1940637896,29
11548679,1472905792,30
11548679,102972913,31
11548679,102972915,32
11548679,102972916,33
11548679,1472911082,34
11548679,160476880,35
11548679,160476885,36
11548679,102972919,37
