id,key,value,type
4401967,cycleway,lane,regular
4401967,cycleway:surface,asphalt,regular
4401967,description,"Frederick William (1620-1688), Elector of Brandenburg betweem 1640 and 1688. He and the Electress Dorothea co-founded the quarter Dorotheenstadt.",regular
4401967,highway,secondary,regular
4401967,lanes,3,regular
4401967,lanes:backward,2,regular
4401967,lit,yes,regular
4401967,maxspeed,50,regular
4401967,name,Wilhelmstraße,regular
4401967,name:ru,Вильгельмштрассе,regular
4401967,name:zh,威廉大街,regular
4401967,old_name,Otto-Grotewohl-Straße,regular
4401967,postal_code,10117,regular
4401967,ref,L 1066,regular
4401967,sidewalk,both,regular
4401967,source:ref,ADAC Maps,regular
4401967,surface,asphalt,regular
4401967,turn:lanes:backward,left|right,regular
4401967,wikipedia,de:Wilhelmstraße (Berlin-Mitte),regular
4402014,description,"Johann Heinrich Behr (1648-1717), led after 1696 the construction of Friedrichstadt, especially the roads Französische Straße and Behrenstraße.",regular
4402014,highway,primary,regular
4402014,lanes:backward,2,regular
4402014,lanes:forward,2,regular
4402014,maxspeed,30,regular
4402014,name,Behrenstraße,regular
4402014,postal_code,10117,regular
4402014,ref,B 2;B 5,regular
4402014,sidewalk,both,regular
4402014,surface,paved,regular
4402014,turn:lanes:backward,left|through;right,regular
4402014,wikipedia,de:Behrenstraße,regular
4402037,description,"Johann Gottfried Schadow (1764-1850), a prominent Prussian sculptor, Director of the Berlin Arts Academy, he created the 'Quadrigo' on top of the Brandenburg Gate.",regular
4402037,highway,residential,regular
4402037,maxspeed,30,regular
4402037,name,Schadowstraße,regular
4402037,postal_code,10117,regular
4402037,sidewalk,both,regular
4402037,surface,paved,regular
4402228,foot,use_sidepath,regular
4402228,highway,secondary,regular
4402228,maxspeed,50,regular
4402228,name,Friedrichstraße,regular
4402228,name:pl,ulica Fryderyka,regular
4402228,name:ru,Фридрихштрассе,regular
4402228,name:uk,Фрідріхштрассе,regular
4402228,name:zh,腓特烈大街,regular
4402228,postal_code,10117,regular
4402228,sidewalk,both,regular
4402228,surface,asphalt,regular
4402228,wikipedia,de:Friedrichstraße,regular
4403559,highway,residential,regular
4403559,maxspeed,30,regular
4403559,name,Albrechtstraße,regular
4403559,oneway,yes,regular
4403559,postal_code,10117,regular
4403559,sidewalk,both,regular
4403559,surface,asphalt,regular
4412868,highway,residential,regular
4412868,maxspeed,30,regular
4412868,name,Mittelstraße,regular
4412868,postal_code,10117,regular
4412868,sidewalk,both,regular
4412868,surface,asphalt,regular
4412886,cycleway,lane,regular
4412886,highway,tertiary,regular
4412886,lanes,2,regular
4412886,maxspeed,50,regular
4412886,name,Luisenstraße,regular
4412886,postal_code,10117,regular
4412886,sidewalk,both,regular
4412886,surface,paved,regular
4471818,bridge,yes,regular
4471818,detail,track,regular
4471818,electrified,rail,regular
4471818,frequency,0,regular
4471818,gauge,1435,regular
4471818,layer,1,regular
4471818,level,2,regular
4471818,name,Berliner Stadtbahn,regular
4471818,operator,DB Netz AG,regular
4471818,passenger_lines,2,regular
4471818,railway,light_rail,regular
4471818,railway:ballastless,yes,regular
4471818,railway:ballastless:system,RHEDA-Berlin,regular
4471818,ref,6024,regular
4471818,usage,main,regular
4471818,voltage,750,regular
4471819,bridge,viaduct,regular
4471819,detail,track,regular
4471819,electrified,rail,regular
4471819,frequency,0,regular
4471819,gauge,1435,regular
4471819,layer,1,regular
4471819,level,3,regular
4471819,name,Berliner Stadtbahn,regular
4471819,operator,DB Netz AG,regular
4471819,passenger_lines,2,regular
4471819,railway,light_rail,regular
4471819,railway:ballastless,yes,regular
4471819,railway:ballastless:system,RHEDA-Berlin,regular
4471819,ref,6024,regular
4471819,usage,main,regular
4471819,voltage,750,regular
4471820,bridge,yes,regular
4471820,detail,track,regular
4471820,electrified,rail,regular
4471820,frequency,0,regular
4471820,gauge,1435,regular
4471820,layer,2,regular
4471820,level,3,regular
4471820,name,Berliner Stadtbahn,regular
4471820,operator,DB Netz AG,regular
4471820,passenger_lines,2,regular
4471820,railway,light_rail,regular
4471820,railway:ballastless,yes,regular
4471820,railway:ballastless:system,RHEDA-Berlin,regular
4471820,ref,6024,regular
4471820,usage,main,regular
4471820,voltage,750,regular
4471821,bridge,viaduct,regular
4471821,detail,track,regular
4471821,electrified,rail,regular
4471821,frequency,0,regular
4471821,gauge,1435,regular
4471821,layer,2,regular
4471821,level,3,regular
4471821,name,Berliner Stadtbahn,regular
4471821,operator,DB Netz AG,regular
4471821,passenger_lines,2,regular
4471821,railway,light_rail,regular
4471821,railway:ballastless,yes,regular
4471821,railway:ballastless:system,RHEDA-Berlin,regular
4471821,ref,6024,regular
4471821,usage,main,regular
4471821,voltage,750,regular
4471823,bridge,viaduct,regular
4471823,detail,track,regular
4471823,electrified,rail,regular
4471823,frequency,0,regular
4471823,gauge,1435,regular
4471823,layer,1,regular
4471823,level,2,regular
4471823,name,Berliner Stadtbahn,regular
4471823,operator,DB Netz AG,regular
4471823,passenger_lines,2,regular
4471823,railway,light_rail,regular
4471823,railway:ballastless,yes,regular
4471823,railway:ballastless:system,RHEDA-Berlin,regular
4471823,ref,6024,regular
4471823,usage,main,regular
4471823,voltage,750,regular
4471824,bridge,viaduct,regular
4471824,detail,track,regular
4471824,electrified,rail,regular
4471824,frequency,0,regular
4471824,gauge,1435,regular
4471824,layer,1,regular
4471824,level,2,regular
4471824,name,Berliner Stadtbahn,regular
4471824,operator,DB Netz AG,regular
4471824,passenger_lines,2,regular
4471824,railway,light_rail,regular
4471824,railway:ballastless,yes,regular
4471824,railway:ballastless:system,RHEDA-Berlin,regular
4471824,ref,6024,regular
4471824,usage,main,regular
4471824,voltage,750,regular
4570580,highway,residential,regular
4570580,maxspeed,30,regular
4570580,name,Marienstraße,regular
4570580,postal_code,10117,regular
4570580,sidewalk,both,regular
4570580,surface,asphalt,regular
4570580,wikipedia,de:Marienstraße (Berlin),regular
4588211,cycleway,lane,regular
4588211,description,"Frederick William (1620-1688), Elector of Brandenburg betweem 1640 and 1688. He and the Electress Dorothea co-founded the quarter Dorotheenstadt.",regular
4588211,highway,tertiary,regular
4588211,lanes,2,regular
4588211,maxspeed,50,regular
4588211,name,Wilhelmstraße,regular
4588211,name:ru,Вильгельмштрассе,regular
4588211,name:zh,威廉大街,regular
4588211,old_name,Otto-Grotewohl-Straße,regular
4588211,postal_code,10117,regular
4588211,sidewalk,both,regular
4588211,surface,paved,regular
4588211,wikipedia,de:Wilhelmstraße (Berlin-Mitte),regular
4588217,highway,residential,regular
4588217,maxspeed,30,regular
4588217,name,Behrenstraße,regular
4588217,postal_code,10117,regular
4588217,sidewalk,both,regular
4588217,surface,asphalt,regular
4588217,wikipedia,de:Behrenstraße,regular
4588219,highway,residential,regular
4588219,lanes,2,regular
4588219,maxspeed,30,regular
4588219,name,Jägerstraße,regular
4588219,postal_code,10117,regular
4588219,sidewalk,both,regular
4588219,surface,paved,regular
4588220,cycleway,lane,regular
4588220,highway,tertiary,regular
4588220,lanes:backward,1,regular
4588220,lanes:forward,2,regular
4588220,lit,yes,regular
4588220,maxspeed,50,regular
4588220,name,Glinkastraße,regular
4588220,postal_code,10117,regular
4588220,sidewalk,both,regular
4588220,turn:lanes:forward,left|through;right,regular
4588222,highway,residential,regular
4588222,lanes,2,regular
4588222,maxspeed,30,regular
4588222,name,Taubenstraße,regular
4588222,postal_code,10117,regular
4588222,sidewalk,both,regular
4588222,surface,asphalt,regular
4597320,highway,residential,regular
4597320,maxspeed,30,regular
4597320,name,Cora-Berliner-Straße,regular
4597320,postal_code,10117,regular
4597320,sidewalk,both,regular
4597320,surface,asphalt,regular
4597322,highway,residential,regular
4597322,maxspeed,30,regular
4597322,name,In den Ministergärten,regular
4597322,postal_code,10117,regular
4597322,sidewalk,both,regular
4597322,surface,asphalt,regular
4597324,highway,residential,regular
4597324,maxspeed,30,regular
4597324,name,Gertrud-Kolmar-Straße,regular
4597324,postal_code,10117,regular
4597324,sidewalk,both,regular
4597324,surface,asphalt,regular
4597325,highway,residential,regular
4597325,maxspeed,30,regular
4597325,name,An der Kolonnade,regular
4597325,postal_code,10117,regular
4597325,sidewalk,both,regular
4597326,highway,residential,regular
4597326,maxspeed,30,regular
4597326,name,Wilhelmstraße,regular
4597326,postal_code,10117,regular
4597326,sidewalk,both,regular
4610472,highway,residential,regular
4610472,maxspeed,30,regular
4610472,name,Am Weidendamm,regular
4610472,postal_code,10117,regular
4610472,sidewalk,both,regular
4610472,surface,sett,regular
4610476,highway,residential,regular
4610476,maxspeed,30,regular
4610476,name,Georgenstraße,regular
4610476,oneway,yes,regular
4610476,postal_code,10117,regular
4610476,sidewalk,both,regular
4610476,street_running_tracks,yes,regular
4610476,surface,asphalt,regular
4610479,highway,residential,regular
4610479,maxspeed,30,regular
4610479,name,Bauhofstraße,regular
4610479,oneway,yes,regular
4610479,postal_code,10117,regular
4610479,sidewalk,both,regular
4610479,surface,asphalt,regular
4610480,highway,residential,regular
4610480,maxspeed,30,regular
4610480,name,Am Kupfergraben,regular
4610480,postal_code,10117,regular
4610480,sidewalk,both,regular
4610480,surface,cobblestone,regular
4610494,highway,footway,regular
4610494,postal_code,10117,regular
4610524,fixme,maxspeed,regular
4610524,highway,residential,regular
4610524,maxspeed,30,regular
4610524,name,Oberwallstraße,regular
4610524,postal_code,10117,regular
4610524,surface,asphalt,regular
4610525,bicycle,yes,regular
4610525,highway,pedestrian,regular
4610525,name,Am Zeughaus,regular
4610525,postal_code,10117,regular
4610525,surface,paving_stones,regular
4610526,highway,service,regular
4610526,name,Hinter dem Zeughaus,regular
4610526,postal_code,10117,regular
4610526,surface,cobblestone,regular
4610527,highway,service,regular
4610527,maxspeed,30,regular
4610527,name,Platz der Märzrevolution,regular
4610527,note,Es gibt vor Ort keine Schilder mit dem Namen. Ortsansässige kennen den Namen und laut taz Artikel sind zwei existierende Schilder in Privathand.,regular
4610527,postal_code,10117,regular
4610527,source,survey 24.10.2015,regular
4610597,FIXME,maxspeed=30 in verkehrsberuhigtem Bereich (living_street) kann nicht sein; vielleicht kein verkehrsberuhigter Bereich (living_street).,regular
4610597,highway,living_street,regular
4610597,maxspeed,30,regular
4610597,name,Bodestraße,regular
4610597,postal_code,10178,regular
4610597,sidewalk,both,regular
4610597,surface,asphalt,regular
4610600,highway,residential,regular
4610600,maxspeed,30,regular
4610600,name,Hinter dem Gießhaus,regular
4610600,postal_code,10117,regular
4610600,surface,asphalt,regular
4611690,alt_name,L 1138,regular
4611690,highway,residential,regular
4611690,maxspeed,30,regular
4611690,name,Bebelplatz,regular
4611690,oneway,no,regular
4611690,postal_code,10117,regular
4611690,priority,forward,regular
4611690,sidewalk,both,regular
4611690,source:ref,ADAC Maps,regular
4611690,surface,asphalt,regular
4611691,access,destination,regular
4611691,construction,residential,regular
4611691,fixme,maxspeed,regular
4611691,highway,construction,regular
4611691,maxspeed,30,regular
4611691,name,Oberwallstraße,regular
4611691,postal_code,10117,regular
4611693,construction,residential,regular
4611693,highway,construction,regular
4611693,maxspeed,30,regular
4611693,name,Niederlagstraße,regular
4611693,postal_code,10117,regular
4611693,sidewalk,both,regular
4611694,construction,residential,regular
4611694,highway,construction,regular
4611694,maxspeed,30,regular
4611694,name,Schinkelplatz,regular
4611694,postal_code,10117,regular
4611694,sidewalk,both,regular
4611696,highway,tertiary,regular
4611696,lanes,2,regular
4611696,lit,yes,regular
4611696,maxspeed,30,regular
4611696,name,Werderscher Markt,regular
4611696,note,"Übergeordnete Straße, Stufe III",regular
4611696,postal_code,10117,regular
4611696,sidewalk,both,regular
4611696,surface,asphalt,regular
4611699,highway,primary,regular
4611699,lanes,1,regular
4611699,lit,yes,regular
4611699,maxspeed,50,regular
4611699,name,Unter den Linden,regular
4611699,name:be,Унтэр-дэн-Ліндэн,regular
4611699,name:es,Bulevar Bajo los Tilos,regular
4611699,name:he,אונטר דן לינדן,regular
4611699,name:ja,ウンター・デン・リンデン,regular
4611699,name:la,Sub Tiliis,regular
4611699,name:ru,Унтер-ден-Линден,regular
4611699,name:uk,Унтер-ден-Лінден,regular
4611699,name:zh,菩提樹下大街,regular
4611699,oneway,yes,regular
4611699,postal_code,10117,regular
4611699,ref,B 2;B 5,regular
4611699,sidewalk,right,regular
4611699,surface,asphalt,regular
4611706,highway,residential,regular
4611706,lanes,2,regular
4611706,maxspeed,30,regular
4611706,name,Markgrafenstraße,regular
4611706,postal_code,10117,regular
4611706,sidewalk,both,regular
4611706,surface,asphalt,regular
4611707,highway,service,regular
4611707,maxspeed,30,regular
4611707,name,Niederlagstraße,regular
4611707,postal_code,10117,regular
4611707,service,alley,regular
4611707,sidewalk,both,regular
4611708,highway,residential,regular
4611708,maxspeed,30,regular
4611708,name,Jägerstraße,regular
4611708,postal_code,10117,regular
4611708,sidewalk,both,regular
4611708,surface,asphalt,regular
4611710,highway,residential,regular
4611710,maxspeed,30,regular
4611710,name,Taubenstraße,regular
4611710,postal_code,10117,regular
4611710,sidewalk,both,regular
4611710,surface,paved,regular
4611711,highway,residential,regular
4611711,maxspeed,30,regular
4611711,name,Hausvogteiplatz,regular
4611711,postal_code,10117,regular
4611711,surface,paved,regular
4611711,wikipedia,de:Hausvogteiplatz,regular
4611712,highway,residential,regular
4611712,maxspeed,30,regular
4611712,name,Jerusalemer Straße,regular
4611712,postal_code,10117,regular
4611712,sidewalk,both,regular
4611712,surface,asphalt,regular
4611713,highway,residential,regular
4611713,maxspeed,30,regular
4611713,name,Oberwallstraße,regular
4611713,postal_code,10117,regular
4611713,sidewalk,both,regular
4611713,surface,asphalt,regular
4611714,highway,residential,regular
4611714,maxspeed,30,regular
4611714,name,Niederwallstraße,regular
4611714,parking:condition:right,ticket,regular
4611714,parking:condition:right:residents,2,regular
4611714,parking:condition:right:time_interval,Mo-Sa 09:00-22:00,regular
4611714,parking:lane:left,no_stopping,regular
4611714,parking:lane:right,parallel,regular
4611714,postal_code,10117,regular
4611714,sidewalk,both,regular
4611714,surface,asphalt,regular
4611718,highway,residential,regular
4611718,maxspeed,30,regular
4611718,name,Kleine Jägerstraße,regular
4611718,postal_code,10117,regular
4611718,sidewalk,both,regular
4611718,surface,asphalt,regular
4773029,highway,residential,regular
4773029,maxspeed,30,regular
4773029,name,Hinter der Katholischen Kirche,regular
4773029,postal_code,10117,regular
4773029,sidewalk,both,regular
4773029,surface,asphalt,regular
6228081,bridge,yes,regular
6228081,bus:lanes:backward,designated|no,regular
6228081,bus:lanes:forward,designated|no,regular
6228081,highway,secondary,regular
6228081,lanes,4,regular
6228081,lanes:bus,2,regular
6228081,layer,2,regular
6228081,maxspeed,50,regular
6228081,name,Weidendammer Brücke,regular
6228081,postal_code,10117,regular
6228081,sidewalk,both,regular
6228081,source:maxspeed,DE:urban,regular
6228081,surface,asphalt,regular
6228081,wikipedia,de:Weidendammer Brücke,regular
11483007,highway,secondary,regular
11483007,maxspeed,50,regular
11483007,name,Friedrichstraße,regular
11483007,name:pl,ulica Fryderyka,regular
11483007,name:ru,Фридрихштрассе,regular
11483007,name:uk,Фрідріхштрассе,regular
11483007,name:zh,腓特烈大街,regular
11483007,postal_code,10117,regular
11483007,sidewalk,both,regular
11483007,surface,asphalt,regular
